Date,RSI_10,RSI_12,RSI_14,RSI_16,RSI_18,RSI_20,RSI_22,RSI_24,RSI_26,RSI_28,RSI_30,RSI_32,RSI_34,RSI_36,RSI_38,RSI_40,RSI_42,RSI_44,RSI_46,RSI_48,RSI_50,RSI_52,RSI_54,RSI_56,RSI_58,RSI_60,RSI_62,RSI_64,RSI_66,RSI_68,RSI_70,RSI_72,RSI_74,RSI_76,RSI_78,RSI_80,RSI_82,RSI_84,RSI_86,RSI_88,RSI_90,RSI_92,RSI_94,RSI_96,RSI_98,RSI_100
2026-05-01,67.65418869950412,65.42695458201737,63.52962887463927,61.94045816413783,60.6169274783415,59.513587144925005,58.59008443449942,57.81313220214945,57.156032362323764,56.597523502580835,56.12062970738172,55.711706524598746,55.3597013622594,55.05559283590313,54.791966664451984,54.56269245688525,54.36267457825827,54.18765777224614,54.03407377433096,53.89891906404805,53.77965661401483,53.67413637066633,53.58053051759985,53.49728051118939,53.423053561070546,53.35670673468088,53.29725724750298,53.243857793850395,53.195776000648074,53.1523772651823,53.11311037896611,53.0774954522433,53.04511374358816,53.01559907135037,52.98863054202698,52.96392637786297,52.94123866432391,52.92034886929565,52.901064011347174,52.88321337523598,52.866645689937755,52.851226698538184,52.83683706090856,52.8233705396576,52.81073242776876,52.798838182908824
2026-05-04,61.41158451635379,60.32832848513097,59.254262734558516,58.27857308309118,57.425471364534786,56.69191357342239,56.065390462140996,55.53139365635927,55.07621562428884,54.687804900217536,54.35586993793114,54.071724734562416,53.82806890389332,53.61877175642806,53.4386817101977,53.283464574434255,53.149468376107656,53.033610949348784,52.93328656306818,52.84628833993797,52.770743748587925,52.70506092125142,52.64788394195362,52.598055572934854,52.55458615168881,52.51662760896972,52.48345173828151,52.454431996617885,52.42902823998647,52.40677389986265,52.387265191734194,52.37015201726381,52.35513027978257,52.3419353808976,52.33033670569265,52.32013293676214,52.31114806436543,52.30322798231233,52.29623757763615,52.29005823735141,52.284585708207544,52.27972825579547,52.27540507802609,52.27154493519576,52.26808496483481,52.2649696545221
2026-05-05,63.341570000744504,61.98776267616326,60.716258469641325,59.58723997530262,58.61031819511475,57.77408895046763,57.0607814943072,56.452350099477805,55.93259344196276,55.48763631214564,55.105812521012936,54.777372903418424,54.49417646058507,54.24941527288784,54.03738350881432,53.85328742179815,53.69308987750678,53.55338302121646,53.43128368264641,53.324347175274745,53.230496043295076,53.14796101463075,53.07523196340511,53.01101710790295,52.95420900167338,52.90385613904853,52.859139208297364,52.81935119749845,52.78388069840663,52.75219786838164,52.723842604663886,52.698414562719265,52.675564714075875,52.65498819150005,52.63641821253216,52.61962090796636,52.60439091117933,52.590547588396376,52.57793180995653,52.56640317913969,52.55583764878014,52.546125467205194,52.537169404427296,52.528883217322324,52.52119031901791,52.514022623134096
2026-05-06,70.29268336286987,68.11412636677689,66.21331877808353,64.57741013823625,63.17878450065389,61.984304642100206,60.96211418609691,60.084370805959374,59.327729555449686,58.67292397676388,58.10410611340782,57.60820757025999,57.174400562219354,56.793666090926116,56.45845366710396,56.162413318778434,55.9001831194678,55.667219180247656,55.459658349979996,55.27420640718831,55.10804637384939,54.958762900425896,54.824279615699005,54.702807020182334,54.59279900883172,54.49291649168264,54.401996875979094,54.319028404380234,54.243128527257596,54.17352563427468,54.10954358946346,54.05058861083567,53.99613811467172,53.94573120946828,53.8989605778123,53.85546552832753,53.814926036041776,53.77705761943571,53.741606927195065,53.708347928207985,53.67707861539058,53.647618148090906,53.61980436962172,53.593491646319784,53.56854898275451,53.544858374600686
2026-05-07,59.88386218473396,59.48565440607747,58.89165406435403,58.248038239413546,57.622928360125016,57.04492434699982,56.52352245056918,56.05934419296042,55.649108970589324,55.28801486788818,54.97086638881559,54.692598426737874,54.44850739839062,54.23433881756814,54.046304016289504,53.88106225211364,53.735686759875364,53.60762448760351,53.49465469574616,53.39484914682487,53.30653524795243,53.22826273114494,53.158774010676574,53.09697810575752,53.04192788300406,52.992800310570374,52.94887939619914,52.909541487124734,52.874242629517674,52.84250771192082,52.81392114650427,52.78811887131465,52.764781484503004,52.74362834699654,52.724412512914704,52.7069163671638,52.69094786720117,52.67633730113359,52.66293448735561,52.65060635207831,52.639234830605226,52.628715046288356,52.61895372795625,52.60986783242206,52.601383343605725,52.59343422398424
2026-05-08,62.76163576780782,61.955096568674705,61.06916333100466,60.20230456646917,59.39859518352143,58.67315702506301,58.027263186561164,57.456176505663315,56.95293971251837,56.51012081784424,56.120575801875624,55.77775187015527,55.47577979875672,55.209471417252495,54.97427619308657,54.76622212262651,54.58185279123606,54.4181661856618,54.27255781024164,54.14276914521026,54.02684170584963,53.92307655320443,53.829998897638454,53.746327338623665,53.67094725103854,53.602887833012936,53.54130235665731,53.48545120062835,53.434687285930266,53.38844357959034,53.346222372442035,53.307586075839524,53.27214931705473,53.23957214416089,53.209554178464614,53.181829576234,53.156162681909315,53.13234427251385,53.110188307965416,53.089529114743655,53.07021894121414,53.05212583210788,53.0351317774538,53.01913109787055,53.00402903371857,52.98974051035986
2026-05-11,79.77032340111474,77.63905351515552,75.6945052129594,73.9313635279151,72.34226854528755,70.91475211473775,69.6337354823183,68.48379868108312,67.4504089545751,66.52040198692694,65.68206894944461,64.92507299061242,64.24030929078961,63.61975874973681,63.05635362823602,62.543859612506836,62.07677358541512,61.65023495397886,61.25994835641514,60.902115947341024,60.57337785851399,60.27075974555343,59.991626550744606,59.73364176028189,59.49473153559368,59.27305317148404,59.06696739096024,58.8750140349626,58.695890748530005,58.528434304969124,58.371604246987,58.22446855863185,58.086191114203345,57.95602067994772,57.83328127131587,57.71736369284909,57.60771810946961,57.50384751722508,57.40530199855074,57.31167366205218,57.22259217989213,57.13772084726616,57.056753098376625,56.97940942193328,56.905434626677426,56.83459541390488
2026-05-12,77.60242744722854,75.76348435165569,74.04550355649604,72.46359731073485,71.02260835995146,69.71814000080089,68.54075935397928,67.47912816712152,66.52173461662085,65.65769482952325,64.87705279479368,64.17084168167582,63.53104404092517,62.9505157719634,62.42290185169886,61.94255468711619,61.5044586287145,61.10416134227562,60.73771178578878,60.40160430396198,60.09272834725828,59.808323365291336,59.54593846157957,59.30339642001107,59.078761727887795,58.87031223225855,58.67651407943062,58.49599960383744,58.327547852008635,58.17006744957065,58.02258154300327,57.88421457228129,57.754180654684376,57.631773383293506,57.51635686556658,57.407357847610015,57.304258788210085,57.20659176332194,57.11393309658433,57.02589862461959,56.94213951752397,56.86233858517723,56.786207008949724,56.71348144619868,56.64392146174277,56.577307246423985
2026-05-13,80.01617876942697,78.07472842191225,76.27218731836818,74.61395796951597,73.1008300325053,71.72689133891305,70.48225726958984,69.35554995871624,68.3353544007673,67.41090706215107,66.5723516511139,65.81078536787933,65.11821655470683,64.48749156458418,63.912215648934044,63.38667716652759,62.90577784515373,62.464969379793665,62.060195925455105,61.6878419436817,61.344684936184755,61.02785268550219,60.73478467937291,60.463197423312,60.21105335587464,59.97653308372366,59.75801065566385,59.554031599746494,59.36329345651277,59.18462855423183,59.01698878775797,58.85943218035457,58.71111102653785,58.57126143285585,58.439194091930574,58.31428614260693,58.19597398540179,58.083746937474665,57.97714162499386,57.8757370230504,57.779150064242835,57.68703174678744,57.5990636816066,57.51495502541681,57.434439753471445,57.35727423142961
2026-05-14,64.90431049160435,64.93871877968323,64.65664844833466,64.21345342289393,63.695756064903556,63.15245082811903,62.61109390088737,62.08699782415895,61.5883532523858,61.11914694678615,60.68085268884473,60.27343373595084,59.89595267000118,59.54695170720799,59.224694589991174,58.9273222121327,58.652952805164034,58.39974559816317,58.165939994023816,57.94987818992445,57.75001659957189,57.56492976480701,57.39330932196174,57.23395981470043,57.08579260230833,56.94781872765152,56.8191413350467,56.698948033154025,56.58650345953574,56.48114220592857,56.38226219518528,56.28931855399913,56.20181799392716,56.11931369248705,56.04140065304708,55.96771151454074,55.89791277805858,55.831701415900284,55.76880182886227,55.70896311877802,55.651956645211996,55.59757383742693,55.54562423511042,55.495933733726645,55.448343012661404,55.40270612651593
