Date,Open,High,Low,Close
2016-01-04,5.940023440917603,6.020053834599693,5.900008668092123,6.011161804199219
2016-01-05,6.015607648705533,6.1890066948690725,5.993376936528326,6.17122220993042
2016-01-06,6.135653957498649,6.233468848106574,6.131207729740194,6.215683937072754
2016-01-07,6.086745908395088,6.15788427590448,6.060069391592706,6.0734076499938965
2016-01-08,6.077854109850891,6.10453062767324,5.868886074836329,5.87777853012085
2016-01-11,5.908902102930372,5.993378319883366,5.886671385622006,5.9400248527526855
2016-01-12,5.988930828313341,5.988930828313341,5.739947627836343,5.753285884857178
2016-01-13,5.757732798351058,5.824424939437877,5.642133426346382,5.6688103675842285
2016-01-14,5.713271684434971,5.713271684434971,5.597672314666913,5.651025772094727
2016-01-15,5.566549132832388,5.60656390474538,5.4998569982796255,5.579887390136719
2016-01-19,5.628796353916414,5.655473300776012,5.504304924608223,5.5532121658325195
2016-01-20,5.450953208529153,5.508752925306607,5.170847084461107,5.326461315155029
2016-01-21,5.375364435559205,5.39759514223044,5.259765100081156,5.3220109939575195
2016-01-22,5.379812975520188,5.50875062085006,5.362028487337296,5.46428918838501
2016-01-25,5.464288066305675,5.5487642618235,5.406488385576402,5.477626323699951
2016-01-26,5.495411154207568,5.642133266828519,5.495411154207568,5.602118492126465
2016-01-27,5.57544116303009,5.655471554887184,5.548764224405875,5.579887390136719
2016-01-28,5.619902274586102,5.686593981426968,5.557656370589903,5.566548824310303
2016-01-29,5.619902882324651,5.717717339733546,5.593225942294131,5.704379081726074
2016-02-01,5.6732553598703435,5.726608806713624,5.6510246510151,5.695486068725586
2016-02-02,5.691040151849666,5.691040151849666,5.562102542291264,5.5976715087890625
2016-02-03,5.619903027932399,5.6910409711694845,5.570995373945212,5.651025772094727
2016-02-04,5.593225692296954,5.77551676497509,5.56210295033207,5.73994779586792
2016-02-05,5.5176403453202045,5.766623499765423,5.5176403453202045,5.584332466125488
2016-02-08,5.539871539374708,5.539871539374708,5.201965951492632,5.259765625
2016-02-09,5.193076147801694,5.277552368966142,5.121938188080962,5.161952972412109
2016-02-10,5.184182615677332,5.281997502015281,5.175290584564209,5.175290584564209
2016-02-11,5.0863674453381735,5.117490612535316,4.988552988477368,5.0196757316589355
2016-02-12,5.05524468930262,5.179736085727922,5.05524468930262,5.130828857421875
2016-02-16,5.1975203379947486,5.224197276612379,5.126382400368473,5.2064127922058105
2016-02-17,5.210859645458906,5.353135537807619,5.210859645458906,5.30422830581665
2016-02-18,5.299781567568357,5.379811961311768,5.250874340289365,5.375365734100342
2016-02-19,5.3353506750837,5.442057586821636,5.317566189794044,5.402042388916016
2016-02-22,5.402042843106388,5.530980478301045,5.402042843106388,5.513195991516113
2016-02-23,5.4865194733465215,5.544319161401452,5.4376118166762515,5.513195991516113
2016-02-24,5.468735416434644,5.504304392800426,5.419827755919959,5.46428918838501
2016-02-25,5.562102432167872,5.579886915064658,5.517641012918146,5.548763751983643
2016-02-26,5.55320952292658,5.566548202016024,5.504302304978405,5.508748531341553
2016-02-29,5.5176417722267175,5.544318712250796,5.45539628552983,5.473180770874023
2016-03-01,5.526532108249462,5.699930667877197,5.482070699925964,5.699930667877197
2016-03-02,5.677702061290933,5.779962736955769,5.67325583434493,5.775516510009766
2016-03-03,5.775515313466731,5.846653233802617,5.7488388053485,5.842207431793213
2016-03-04,5.828868753718646,5.855545685852328,5.80663847162527,5.842207431793213
2016-03-07,5.806640227715842,5.9133471404908295,5.779963287514306,5.864439487457275
2016-03-08,5.8733319045444965,5.908900875241472,5.704379081726074,5.704379081726074
2016-03-09,5.713270249656702,5.797746430032271,5.713270249656702,5.762177467346191
