Date,Open,High,Low,Close,Volume
2016-01-04,26.984227805071125,27.29788361499919,26.190284432962606,26.53334617614746,
2016-01-05,26.10206381022734,26.56274733408384,25.50415823111653,25.808012008666992,
2016-01-06,25.41594913476476,26.2490986220655,25.03368131628288,26.18048477172852,
2016-01-07,25.65118288195274,26.141270440362582,25.14149137251794,25.915830612182617,
2016-01-08,26.082468421018817,26.14127842251545,24.867051129383032,24.945465087890625,
2016-01-11,25.04348289573389,25.151302797343277,24.37696513629658,24.95526695251465,
2016-01-12,25.327728202241968,26.062859627919572,25.298322272181945,25.97464370727539,
2016-01-13,26.170681455676142,26.31770737788052,25.268920098076997,25.494359970092773,
2016-01-14,25.759008387135527,26.513741971609985,24.553391308436275,26.39612197875977,
2016-01-15,25.611982104468723,25.63158606094697,24.6514106714688,25.47475814819336,
2016-01-19,25.739407874825957,25.925641736208977,24.896456378653,25.161104202270508,
2016-01-20,24.75922929521925,25.768810567737635,24.54359139360487,25.42574882507324,
2016-01-21,25.46495690024732,25.90603658597641,25.21991304585032,25.572776794433597,
2016-01-22,26.023653406300223,26.376517111726184,25.915835394836968,25.99424934387207,
2016-01-25,25.788413399734928,25.97464724306096,25.435551538660945,25.52376747131348,
2016-01-26,25.71980325514829,26.307908891543946,25.71980325514829,26.1608829498291,
2016-01-27,25.99424942854668,26.29810324835548,23.76925104681589,25.827619552612305,
2016-01-28,26.11187283614494,26.690176488947102,25.88643293611325,26.33731460571289,
2016-01-29,26.33730816255287,27.61153516099624,26.33730816255287,27.52331924438477,
2016-02-01,27.317485365844945,27.317485365844945,26.53334403477285,27.033233642578125,
2016-02-02,27.033237593857173,27.934999041196544,26.974427593030057,27.33709144592285,
2016-02-03,27.689948440927797,28.11142406145525,27.376292686917346,27.738956451416016,
2016-02-04,27.68995265038937,28.07222042501047,27.62134067746108,27.866384506225582,
2016-02-05,27.73896090836331,27.73896090836331,27.08224336681017,27.209667205810547,
2016-02-08,26.80779267405588,27.415500264267248,26.494136902393777,27.28807830810547,
2016-02-09,26.827394333893192,27.670343680793632,26.748980397680693,27.16065216064453,
2016-02-10,27.39590572998504,27.503723762744617,26.876412046556577,26.98423194885254,
2016-02-11,26.43532857108065,26.974426136416056,25.886430897416773,26.82740020751953,
2016-02-12,26.984225515215225,27.288079321606272,26.337309994751205,27.04303550720215,
2016-02-16,27.3272882746414,28.317265614775177,27.052840369737552,28.229049682617188,
2016-02-17,28.37607406160084,28.8661616836006,27.934994453986683,28.356470108032227,
2016-02-18,28.415279459679105,28.699531171418748,28.219245537012743,28.24864959716797,
2016-02-19,28.30746054800785,29.42486161023716,28.30746054800785,29.287635803222656,
2016-02-22,29.28763671114313,29.49347449327792,28.84655895434456,29.05239486694336,
2016-02-23,28.84656101565004,29.042594965056637,28.5329052009706,28.56230926513672,
2016-02-24,28.32706733088698,28.90537093878304,28.268257333170663,28.885766983032227,
2016-02-25,28.9739853297915,29.366055129812008,28.846563345860936,29.00339126586914,
2016-02-26,29.199423802149788,29.44446763317339,29.022991944687025,29.2778377532959,
2016-02-29,29.209222456159186,29.385654304839147,29.12100653181921,29.23862838745117,
2016-03-01,29.179817177072746,30.94413185119629,29.179817177072746,30.94413185119629,
2016-03-02,30.85591721789906,31.01274511238491,30.23840761705301,30.35602760314941,
2016-03-03,30.46385181484337,30.59127379616156,30.218807961162348,30.47365379333496,
2016-03-04,30.277614647533053,30.728496261098744,30.179598612421238,30.591270446777344,
2016-03-07,30.34622522066599,30.522657066989662,29.748319582001905,30.07177734375,
2016-03-08,29.79733124978869,30.091384986217925,29.59149531687079,29.924755096435547,
2016-03-09,30.0913835452996,31.08135898888504,30.081581567601035,30.836315155029297,
2016-03-10,30.895125362365476,31.23818708525068,30.012967981757782,30.179597854614254,
2016-03-11,30.3756358877162,31.061759426058035,30.101186098472212,30.630481719970703,
2016-03-14,30.640280163884697,31.169573854789043,30.414840293120548,30.924530029296875,
2016-03-15,30.68928877905308,31.01274656022285,30.473650881451917,30.87552261352539,
2016-03-16,30.77750957497981,31.68907493639564,30.64028560658036,31.57145118713379,
