Date,SMA_10,SMA_12,SMA_14,SMA_16,SMA_18,SMA_20,SMA_22,SMA_24,SMA_26,SMA_28,SMA_30,SMA_32,SMA_34,SMA_36,SMA_38,SMA_40,SMA_42,SMA_44,SMA_46,SMA_48,SMA_50,SMA_52,SMA_54,SMA_56,SMA_58,SMA_60,SMA_62,SMA_64,SMA_66,SMA_68,SMA_70,SMA_72,SMA_74,SMA_76,SMA_78,SMA_80,SMA_82,SMA_84,SMA_86,SMA_88,SMA_90,SMA_92,SMA_94,SMA_96,SMA_98,SMA_100
2026-05-01,7.209000062942505,7.081666707992554,6.9700000286102295,6.83500000834465,6.687777784135607,6.548499989509582,6.43999999219721,6.317083319028218,6.259999990463257,6.25071428503309,6.227333323160807,6.218124985694885,6.389411757974064,6.498333321677314,6.608947377455862,6.694249999523163,6.76714285214742,6.839772712100636,6.897391288176827,6.91291665037473,6.897199983596802,6.896730753091665,6.876666651831733,6.84660713161741,6.827068953678526,6.8109999895095825,6.819032246066678,6.831718735396862,6.857878771695224,6.875294103341944,6.909142848423549,6.950138873524136,6.9752702584137785,6.990263142083821,7.012692292531331,7.0299999833107,7.043780472220444,7.0301190330868675,7.021744173626567,7.017954533750361,6.995999987920126,6.969565204952074,6.9352127541887,6.906249985098839,6.897346924762337,6.89939998626709
2026-05-04,7.344000053405762,7.198333382606506,7.081428595951626,6.973125010728836,6.819444444444445,6.667499995231628,6.555454535917803,6.442916651566823,6.334230753091665,6.3167857101985385,6.29333332379659,6.276874989271164,6.331764684003942,6.48777777618832,6.588157892227173,6.69099999666214,6.755714280264718,6.819772720336914,6.889565198317818,6.934583316246669,6.921599979400635,6.912884602179894,6.90759257917051,6.875892843518939,6.851896540871982,6.839499990145366,6.822419343456145,6.840937487781048,6.8572727116671475,6.881764692418716,6.909571416037423,6.937222209241655,6.976621608476381,6.991973669905412,7.012179472507575,7.031124985218048,7.048414619957528,7.04916665099916,7.032325567201126,7.037840897386724,7.016111098395454,6.993369553400123,6.960531904342327,6.927812486886978,6.910102026803153,6.908899984359741
2026-05-05,7.491000032424926,7.325000047683716,7.1992857456207275,7.086875021457672,6.953888893127441,6.809500002861023,6.671818169680509,6.56208332379659,6.439230753825261,6.377499989100865,6.360999997456869,6.3321874886751175,6.317352926029878,6.473611103163825,6.5723684085042855,6.673750007152558,6.751904760088239,6.8188636302948,6.886086940765381,6.9393749833106995,6.9525999832153325,6.935961521588839,6.934074057473077,6.9133928418159485,6.883103436437146,6.862999987602234,6.846290311505718,6.852968737483025,6.864242409214829,6.888676454039181,6.904714271000453,6.936805546283722,6.975945930223207,6.999736829807884,7.013717932578845,7.034999984502792,7.051341446434579,7.064285698391142,7.050465101419493,7.041818169030276,7.037666654586792,7.015760857125987,6.989468072323089,6.955416654547055,6.926632637880286,6.917499985694885
2026-05-06,7.616000032424926,7.520000060399373,7.370000055858067,7.246250033378601,7.131666686799791,6.977500009536743,6.825000004334883,6.709166665871938,6.593461531859178,6.481785706111363,6.455666669209799,6.424999997019768,6.401764701394474,6.446666651301914,6.5884210561451155,6.678750002384186,6.772380953743344,6.830454544587568,6.888478258381719,6.952499985694885,6.993199987411499,6.978461522322434,6.967962953779432,6.960892847606114,6.928448265996472,6.903499992688497,6.889838703217045,6.871718741953373,6.88818180922306,6.902647046481862,6.925142846788678,6.950972212685479,6.976756746704514,7.014078937078777,7.028076911583925,7.046874988079071,7.06451218302657,7.080595226514907,7.080581382263539,7.063409079204906,7.068111101786296,7.046195641807888,7.023297862803682,6.990520824988683,6.957857131958008,6.939899988174439
2026-05-07,7.759000062942505,7.654166738192241,7.488571507590158,7.358125060796738,7.240555604298909,7.105500030517578,6.960454572330821,6.821666677792867,6.708846165583684,6.584285719054086,6.517000007629394,6.492812514305115,6.457941181519452,6.436944444974263,6.578684217051456,6.667250001430512,6.759285733813331,6.83000001040372,6.890652179718018,6.952083329359691,7.0005999946594235,7.010961532592773,6.992777771419949,6.98892856495721,6.967068959926737,6.935999997456869,6.914838706293414,6.897031247615814,6.901969692923806,6.911470581503475,6.933857134410313,6.948194437556797,6.978243241438994,7.015263149612828,7.037435892300728,7.050124990940094,7.06999999139367,7.085119037401109,7.096976734871088,7.082727264274251,7.073555548985799,7.0688043418137925,7.046702121166473,7.0203124930461245,6.986326524189541,6.957499990463257
2026-05-08,7.821000051498413,7.729166706403096,7.630714348384312,7.485625058412552,7.36277781592475,7.2480000257492065,7.097272742878307,6.9475000103314715,6.831153851289016,6.714999999318804,6.602666664123535,6.570625007152557,6.535000001682954,6.506944444444445,6.543947357880442,6.673750007152558,6.755714291617984,6.841590913859281,6.894130437270455,6.947083334128062,7.006199989318848,7.043269221599285,7.027222209506565,7.015357136726379,7.0068965451470735,6.973999993006388,6.94838709215964,6.933749996125698,6.914848479357633,6.929558817078085,6.94242856161935,6.963194436497158,6.987297290080303,7.011447360641078,7.046923068853525,7.059749990701675,7.077317063401385,7.09380951381865,7.108837199765582,7.108181807127866,7.090777768029107,7.094782601232114,7.072765948924612,7.049791658918063,7.017142850525525,6.9845999908447265
2026-05-11,8.275000095367432,8.146666725476583,8.001428638185773,7.8131250739097595,7.661111169391209,7.525000047683716,7.376363667574796,7.220833361148834,7.072692320897029,6.950000013623919,6.817666673660279,6.740000009536743,6.7041176627664,6.659444451332092,6.628947370930722,6.754000008106232,6.830000003178914,6.910454565828497,6.971521750740383,7.023750007152557,7.077399997711182,7.119230765562791,7.124814810576262,7.103214280945914,7.095689650239615,7.070999995867411,7.037580643930743,7.013906247913837,6.9936363624803946,6.995588232489193,7.002142851693289,7.021388881736332,7.032972967302477,7.0599999992471,7.093974351882935,7.113624995946884,7.124146333554896,7.141785706792559,7.1548837118370585,7.1648863554000854,7.149444437026977,7.139021733532781,7.132978718331519,7.1099999944369,7.0828571368236934,7.048299994468689
2026-05-12,8.718000078201294,8.455833395322164,8.286428621837072,8.130625069141388,7.946111175749037,7.789500045776367,7.646363670175726,7.475000023841858,7.307692326032198,7.1739285843712945,7.042666673660278,6.916875004768372,6.868235307581284,6.818055563502842,6.776578953391628,6.798249995708465,6.909761917023432,6.977272738109935,7.0497826182323955,7.09145834048589,7.134400005340576,7.184038455669697,7.213148143556383,7.1916071346827914,7.174482756647571,7.1609999974568685,7.124193545310728,7.09468749910593,7.076060605771614,7.053529409801259,7.063857139859881,7.07263888253106,7.0893243196848275,7.109473680195055,7.129871790225689,7.16149999499321,7.171219505914828,7.185714278902326,7.199302318484285,7.21159090237184,7.208666658401489,7.189456514690233,7.191276590874854,7.167708327372869,7.143265300867509,7.109399995803833
2026-05-13,9.235000085830688,8.879166762034098,8.682857206889562,8.48875007033348,8.267222298516167,8.085000061988831,7.922727324745872,7.753333369890849,7.580769263781034,7.417500019073486,7.280000019073486,7.135312512516975,7.043529426350313,6.992777797910902,6.9352631694392155,6.892500007152558,6.999047631309146,7.060454552823847,7.127391327982363,7.176875015099843,7.218800010681153,7.262884616851807,7.296296296296297,7.295357142175947,7.26862068833976,7.255833331743876,7.226774192625476,7.189531251788139,7.161969697836674,7.137941178153543,7.135714285714286,7.138194441795349,7.153243238861497,7.161052628567345,7.184102565814287,7.214124995470047,7.230365852030312,7.237857137407575,7.252441855364068,7.262727266008204,7.270111105177137,7.252717386121335,7.24031914548671,7.232291663686435,7.207755098537523,7.179199995994568
2026-05-14,9.576000070571899,9.191666722297668,8.899285759244647,8.69562503695488,8.511666721767849,8.307500052452088,8.132272763685746,7.972500026226044,7.789230786837065,7.6114285843712945,7.466333341598511,7.325000002980232,7.19000000112197,7.1288888984256324,7.067631583464773,7.015750002861023,7.0249999931880405,7.121136372739619,7.176521747008614,7.237708340088527,7.270200004577637,7.3046153875497675,7.346111103340432,7.368392850671496,7.342241369444748,7.320666662851969,7.302903221499536,7.262812495231628,7.22999999739907,7.207941174507141,7.182285710743495,7.188749995496538,7.193918911186424,7.20697367818732,7.223589738210042,7.2406249940395355,7.268780481524583,7.27571427822113,7.287441852480867,7.298409082672813,7.3082222143809,7.3032608602357945,7.282446800394261,7.2822916607062025,7.257346931768923,7.23159999370575
2026-05-15,9.722000074386596,9.40416673819224,9.075000081743513,8.878750056028366,8.684444506963095,8.46550006866455,8.281818238171665,8.116666714350382,7.945384649130014,7.771428602082389,7.6063333511352536,7.465625017881393,7.318529423545389,7.221666680441962,7.164210545389276,7.101000010967255,7.052380959192912,7.146818193522367,7.199130441831506,7.257500022649765,7.299800014495849,7.335384625654954,7.37351851993137,7.401785714285714,7.397241378652638,7.367999998728434,7.352419353300525,7.32124999910593,7.282272729006681,7.252794118488536,7.226857144492013,7.222222222222222,7.222297294719799,7.234736837838826,7.240256407322028,7.26075000166893,7.28817072728785,7.302261903172448,7.307906971421352,7.320568176833066,7.329111104541354,7.334891298542852,7.316489356629392,7.303020829955737,7.293877548100997,7.268599996566772
2026-05-18,9.83700008392334,9.53000009059906,9.20714293207441,8.949375063180923,8.762777831819323,8.59050006866455,8.397727337750522,8.229583382606506,8.074615423495953,7.8971428871154785,7.724000024795532,7.580937519669533,7.441176484612858,7.3072222338782415,7.243157913810329,7.179250013828278,7.124523821331206,7.128409093076533,7.215869582217673,7.265000015497208,7.32020001411438,7.348269242506761,7.378518528408474,7.415892856461661,7.435000000328853,7.407499996821086,7.384516131493353,7.365312501788139,7.324545455701424,7.290882356026593,7.267714289256505,7.241111112965478,7.24581081158406,7.249342102753489,7.260641024662898,7.275499999523163,7.290853657373568,7.3171428555534,7.322790694791217,7.333181814713911,7.342888885074192,7.351521735605986,7.345744675778328,7.324479162693024,7.323469385808828,7.2981999969482425
2026-05-19,9.90300006866455,9.570000052452087,9.319285767418998,9.041875064373016,8.871111154556274,8.69700005054474,8.49681823903864,8.32583338022232,8.170000039614164,8.007142884390694,7.840666691462199,7.681562513113022,7.544705895816579,7.401388896836175,7.305263167933414,7.246500015258789,7.182380960101173,7.1322727311741225,7.21913044349007,7.266250004371007,7.319600019454956,7.357884627122146,7.39000000777068,7.424821427890232,7.4503448256130875,7.444333330790202,7.414516125955889,7.3979687467217445,7.366363633762706,7.327205882352941,7.29728571346828,7.270833333333333,7.265135133588636,7.26407894335295,7.275128199503972,7.279499995708465,7.298536585598457,7.324404756228129,7.337325578512147,7.342045448043129,7.353666660520766,7.361304340155228,7.366276588845761,7.34760416050752,7.333775505727651,7.324199995994568
2026-05-20,9.935000038146972,9.679166714350382,9.43857148715428,9.167500048875809,8.942777819103664,8.77550003528595,8.617727323011918,8.438750048478445,8.280384650597206,8.132857169423785,7.96333335240682,7.796875014901161,7.6579411871293015,7.521666672494677,7.390526319804945,7.325500011444092,7.260714292526245,7.204772732474587,7.2049999962682305,7.285625010728836,7.330000009536743,7.380576931513273,7.405370376728199,7.432500004768372,7.466724132669383,7.483499995867411,7.455322573261876,7.431562498211861,7.411515149203214,7.370588232489193,7.336571427753993,7.312777777512868,7.285675673871427,7.289078944607785,7.2914102505414915,7.301374995708466,7.3148780450588315,7.32892856711433,7.353720925575079,7.358409085056999,7.367777771419949,7.376521732496179,7.384255312858744,7.377916658918063,7.35642856481124,7.354799995422363
2026-05-21,10.048000049591064,9.785000085830688,9.516428640910558,9.303750067949295,9.058888965182835,8.903500056266784,8.74227278882807,8.555000066757202,8.39269236417917,8.243214334760394,8.08633337020874,7.9253125339746475,7.770588257733514,7.63638891114129,7.495789490248027,7.399750018119812,7.339285736992245,7.273863651535728,7.2219565329344375,7.301458348830541,7.343400011062622,7.391730794539819,7.425925943586561,7.454464299338205,7.485862074227168,7.508500003814698,7.500806454689272,7.470156252384186,7.4524242444471875,7.420147061347961,7.38057143347604,7.350000003973643,7.322837842477335,7.315921055643182,7.313589744078807,7.3231249988079075,7.326219512195122,7.343690480504717,7.367906975191693,7.3795454556291755,7.383222219679091,7.393695649893387,7.400319145080891,7.404374996821086,7.385306119918823,7.370999999046326
2026-05-22,10.169000053405762,9.856666723887125,9.648571491241455,9.44187507033348,9.20055561595493,8.995000052452088,8.838181864131581,8.68833339214325,8.51769236417917,8.36500004359654,8.221666701634724,8.057187527418137,7.895000023000381,7.758333351877001,7.623947381973267,7.494250011444092,7.427380970546177,7.360909104347229,7.303043489870817,7.2991666694482165,7.372800016403199,7.412115399654095,7.457777791553074,7.478928583008902,7.502586216762148,7.533333333333333,7.547419355761621,7.518124997615814,7.49318182107174,7.471911766949822,7.430428573063442,7.3956944478882685,7.370945949812193,7.343026318048176,7.344871796094454,7.345749998092652,7.3541463409982075,7.366071428571429,7.3786046504974365,7.4017045443708245,7.4052222198910185,7.413369562314904,7.42095744356196,7.427604163686435,7.420510199605202,7.398599996566772
2026-05-26,10.052000045776367,10.0575000445048,9.830714362008232,9.590000063180923,9.392777840296427,9.1635000705719,9.012727325612849,8.85583339134852,8.674230832319994,8.515000053814479,8.367333380381266,8.212500035762787,8.053529444862814,7.900277800030178,7.766315811558774,7.6262500166893,7.528571446736653,7.465000022541393,7.396956537080848,7.342083344856898,7.413600015640259,7.449615395986116,7.492222247300325,7.521607160568237,7.545862082777353,7.573166672388712,7.592258068823045,7.582187503576279,7.550000002889922,7.53044117899502,7.496857145854405,7.456250005298191,7.424459463841206,7.396052636598286,7.3874359008593435,7.3833750009536745,7.390975609058287,7.392380952835083,7.407906981401665,7.430113635279915,7.440111112594605,7.442391302274621,7.45138297689722,7.45666666328907,7.459489793193583,7.439699997901917
2026-05-27,9.93100004196167,10.214166720708212,9.940000057220459,9.74750006198883,9.552777846654257,9.324500060081482,9.126363689249212,8.971666713555654,8.823076981764574,8.655000056539263,8.503333377838135,8.360312536358833,8.197352970347685,8.036388913790384,7.8994737047898145,7.764750015735626,7.634523823147728,7.5643182017586446,7.494782624037369,7.4337500135103864,7.424800004959106,7.490769248742324,7.524259275860256,7.564285729612623,7.581034495912749,7.600500011444092,7.6270967760393695,7.637812502682209,7.606666666088683,7.579852945664349,7.556714289528983,7.514027780956692,7.47797297787022,7.4517105315860945,7.422435901103875,7.422250002622604,7.421219511729915,7.427619048527309,7.437558140865592,7.448181818832051,7.46922222243415,7.47119565113731,7.477765955823533,7.483854164679845,7.489081630901414,7.480899996757508
2026-05-28,9.769000053405762,10.12416672706604,10.118571485791888,9.912500083446503,9.689444515440199,9.502000069618225,9.283636439930309,9.13541672627131,8.981153909976666,8.803571496691022,8.646333392461141,8.499687552452087,8.346176512101117,8.188611149787903,8.036315817581979,7.902250027656555,7.762380974633353,7.662954568862915,7.5963043751923935,7.525625020265579,7.467800016403198,7.531730789404649,7.5620370529316085,7.599107171807971,7.623793125152588,7.643833351135254,7.667096784037929,7.68265625834465,7.6701515226653125,7.636323536143584,7.614857149124146,7.5798611177338495,7.5381081168716015,7.505000007779975,7.475256418570494,7.464875006675721,7.459024394430766,7.464642859640575,7.464302329129951,7.477840916676954,7.498000001907348,7.506304352179818,7.5071276603861055,7.514583334326744,7.51846938717122,7.52
2026-05-29,9.676000118255615,9.990000089009603,10.224285806928362,9.98312509059906,9.807222313351101,9.626000094413758,9.411818265914917,9.222916742165884,9.0726923759167,8.927500077656337,8.763666741053264,8.61468756198883,8.47352946505827,8.313333378897774,8.154736882761904,8.018750035762787,7.884761935188656,7.755000027743253,7.682608728823454,7.611041694879532,7.547800025939941,7.53480770954719,7.594259288575914,7.622857170445578,7.658103474255266,7.671166690190633,7.68709679572813,7.710156261920929,7.718030315456969,7.685441185446346,7.657142870766776,7.632500012715657,7.58891893077541,7.551842118564405,7.5243589878082275,7.494000011682511,7.492073181198864,7.489404769170852,7.49406977586968,7.502272735942494,7.511222230063544,7.5304347898649135,7.531063835671607,7.536250005165736,7.541020412834323,7.545000004768371
