Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
29,1,51.7,68.5,1613.04,-3386.96,-67.74,9921.93,91.82,-0.34,0.2,16,10,16,26,36,2.6,0.6,-10.3
35,15,45.7,56.1,1486.97,-3513.03,-70.26,9424.11,90.57,-0.37,0.3,16,10,16,26,36,2.7,0.2,-11.0
30,8,53.3,68.1,4351.3,-648.7,-12.97,8618.15,71.75,-0.08,0.0,16,10,16,26,36,2.7,0.3,-1.3
29,2,58.6,69.7,9563.04,4563.04,91.26,9004.0,70.62,0.51,0.5,16,10,16,26,36,2.7,0.4,6.4
28,4,57.1,70.8,1507.48,-3492.52,-69.85,9095.08,93.9,-0.38,0.3,16,10,16,26,36,2.7,0.5,-10.9
28,1,57.1,72.4,5880.29,880.29,17.61,11262.27,83.02,0.08,0.0,16,10,16,26,36,2.7,0.6,1.6
33,12,51.5,61.5,5347.1,347.1,6.94,9609.56,77.59,0.04,0.0,16,10,16,26,36,2.8,0.2,0.6
26,5,53.8,80.8,13597.69,8597.69,171.95,8081.4,59.43,1.06,1.8,16,10,16,26,36,2.8,0.3,10.1
26,1,57.7,81.2,41206.5,36206.5,724.13,26776.32,46.53,1.35,9.8,16,10,16,26,36,2.8,0.4,22.4
26,1,61.5,80.6,37673.45,32673.45,653.47,24480.51,46.53,1.33,8.7,16,10,16,26,36,2.8,0.5,21.4
26,1,57.7,81.8,24470.95,19470.95,389.42,15901.42,46.53,1.22,4.8,16,10,16,26,36,2.8,0.6,16.5
32,16,40.6,55.8,1442.76,-3557.24,-71.14,7895.57,89.58,-0.45,0.3,16,10,16,26,36,2.9,0.2,-11.2
27,6,55.6,69.3,17948.45,12948.45,258.97,27047.65,69.55,0.48,1.2,16,10,16,26,36,2.9,0.3,13.1
20,2,50.0,97.2,5098.16,98.16,1.96,10410.4,84.24,0.01,0.0,16,10,16,26,36,2.9,0.4,0.2
20,1,50.0,101.7,4637.42,-362.58,-7.25,10586.35,85.67,-0.03,0.0,16,10,16,26,36,2.9,0.5,-0.7
20,1,50.0,102.7,3755.52,-1244.48,-24.89,10923.15,88.39,-0.11,0.0,16,10,16,26,36,2.9,0.6,-2.7
22,12,36.4,88.2,1415.67,-3584.33,-71.69,5315.05,85.66,-0.67,0.5,16,10,16,26,36,3.0,0.2,-11.4
23,5,52.2,87.3,5768.93,768.93,15.38,8536.53,69.16,0.09,0.0,16,10,16,26,36,3.0,0.3,1.4
20,3,55.0,93.6,3897.87,-1102.13,-22.04,4734.68,76.31,-0.23,0.1,16,10,16,26,36,3.0,0.4,-2.4
18,3,61.1,110.7,2999.96,-2000.04,-40.0,6490.1,85.16,-0.31,0.1,16,10,16,26,36,3.0,0.5,-4.8
17,2,64.7,115.6,5822.6,822.6,16.45,6899.91,75.86,0.12,0.0,16,10,16,26,36,3.0,0.6,1.5
28,13,46.4,57.6,925.3,-4074.7,-81.49,7443.45,92.42,-0.55,0.4,16,10,16,26,36,3.1,0.2,-15.0
24,6,54.2,76.2,3076.82,-1923.18,-38.46,6024.07,74.8,-0.32,0.1,16,10,16,26,36,3.1,0.3,-4.6
20,4,55.0,88.7,2361.28,-2638.72,-52.77,6330.94,78.61,-0.42,0.2,16,10,16,26,36,3.1,0.4,-7.0
18,3,55.6,93.9,1709.66,-3290.34,-65.81,9493.98,87.11,-0.35,0.2,16,10,16,26,36,3.1,0.5,-9.8
16,2,62.5,117.9,2944.96,-2055.04,-41.1,10200.01,80.83,-0.2,0.1,16,10,16,26,36,3.1,0.6,-5.0
22,8,54.5,79.7,9215.58,4215.58,84.31,11032.65,64.47,0.38,0.3,16,10,16,26,36,3.2,0.2,6.0
23,8,56.5,75.3,4676.56,-323.44,-6.47,13689.87,81.61,-0.02,0.0,16,10,16,26,36,3.2,0.3,-0.6
20,5,60.0,92.2,4372.32,-627.68,-12.55,13238.66,80.58,-0.05,0.0,16,10,16,26,36,3.2,0.4,-1.3
17,2,52.9,102.9,4627.89,-372.11,-7.44,7167.6,65.77,-0.05,0.0,16,10,16,26,36,3.2,0.5,-0.7
13,1,46.2,146.5,1904.86,-3095.14,-61.9,6488.73,80.57,-0.48,0.3,16,10,16,26,36,3.2,0.6,-8.8
111,20,63.1,21.8,3940.26,-1059.74,-21.19,19618.35,86.55,-0.05,0.0,16,12,16,28,40,1.5,0.2,-2.3
97,8,64.9,24.8,3729.31,-1270.69,-25.41,22093.54,92.23,-0.06,0.0,16,12,16,28,40,1.5,0.3,-2.8
100,4,68.0,24.1,9861.24,4861.24,97.22,34116.78,87.97,0.14,0.1,16,12,16,28,40,1.5,0.4,6.7
