Date,Equity
2016-04-04,5000.0
2016-04-05,5000.0
2016-04-06,5000.0
2016-04-07,5000.0
2016-04-08,5000.0
2016-04-11,5000.0
2016-04-12,5000.0
2016-04-13,5000.0
2016-04-14,5000.0
2016-04-15,5000.0
2016-04-18,5000.0
2016-04-19,5000.0
2016-04-20,5000.0
2016-04-21,5000.0
2016-04-22,5000.0
2016-04-25,5000.0
2016-04-26,5000.0
2016-04-27,5000.0
2016-04-28,5000.0
2016-04-29,5396.83
2016-05-02,5238.1
2016-05-03,5079.37
2016-05-04,4920.63
2016-05-05,4841.27
2016-05-06,4841.27
2016-05-09,5079.37
2016-05-10,5079.37
2016-05-11,4761.9
2016-05-12,4682.54
2016-05-13,4523.81
2016-05-16,4761.9
2016-05-17,4444.44
2016-05-18,4682.54
2016-05-19,4603.17
2016-05-20,4761.9
2016-05-23,4761.9
2016-05-24,4920.63
2016-05-25,4920.63
2016-05-26,4841.27
2016-05-27,4841.27
2016-05-31,4920.63
2016-06-01,5000.0
2016-06-02,5000.0
2016-06-03,4841.27
2016-06-06,5476.19
2016-06-07,5317.46
2016-06-08,5238.1
2016-06-09,5158.73
2016-06-10,4920.63
2016-06-13,5238.1
2016-06-14,5555.56
2016-06-15,6269.84
2016-06-16,6190.48
2016-06-17,5952.38
2016-06-20,6109.38
2016-06-21,5897.77
2016-06-22,5911.42
2016-06-23,5870.47
2016-06-24,5576.94
2016-06-27,5399.46
2016-06-28,5699.81
2016-06-29,5911.42
2016-06-30,6068.43
2016-07-01,6068.43
2016-07-05,5829.51
2016-07-06,5863.64
2016-07-07,5863.64
2016-07-08,6218.6
2016-07-11,6293.69
2016-07-12,6280.03
2016-07-13,6225.43
2016-07-14,6320.99
2016-07-15,6716.91
2016-07-18,7010.43
2016-07-19,7051.39
2016-07-20,6887.56
2016-07-21,6955.82
2016-07-22,7235.69
2016-07-25,7269.82
2016-07-26,7338.08
2016-07-27,7338.08
2016-07-28,7351.74
2016-07-29,7303.95
2016-08-01,7283.48
2016-08-02,7160.6
2016-08-03,7024.08
2016-08-04,8054.83
2016-08-05,8054.83
2016-08-08,8447.75
2016-08-09,8465.55
2016-08-10,8542.7
2016-08-11,8207.4
2016-08-12,8029.37
2016-08-15,8014.53
2016-08-16,7762.31
2016-08-17,7643.62
2016-08-18,7572.41
2016-08-19,7477.46
2016-08-22,7708.9
2016-08-23,7676.26
2016-08-24,7622.85
2016-08-25,7658.46
2016-08-26,7533.83
2016-08-29,7584.28
2016-08-30,7616.92
2016-08-31,7661.43
2016-09-01,7572.41
2016-09-02,7530.87
2016-09-06,7450.75
2016-09-07,7590.21
2016-09-08,7516.03
2016-09-09,7388.44
2016-09-12,7432.95
2016-09-13,7388.44
2016-09-14,7418.11
2016-09-15,7572.41
2016-09-16,7652.52
2016-09-19,7673.3
2016-09-20,7697.03
2016-09-21,7723.74
2016-09-22,7744.51
2016-09-23,7726.71
2016-09-26,7720.77
2016-09-27,7762.31
2016-09-28,7851.33
2016-09-29,7756.38
2016-09-30,7732.64
2016-10-03,7679.23
2016-10-04,7771.21
2016-10-05,7714.84
2016-10-06,7711.87
2016-10-07,7723.74
2016-10-10,7833.53
2016-10-11,7759.34
2016-10-12,7794.95
2016-10-13,7747.48
2016-10-14,7723.74
2016-10-17,7800.89
2016-10-18,7777.15
2016-10-19,7789.02
2016-10-20,7741.54
2016-10-21,7717.8
2016-10-24,7907.71
2016-10-25,8055.52
2016-10-26,8095.31
2016-10-27,8265.86
2016-10-28,8049.83
2016-10-31,8140.79
2016-11-01,8055.52
2016-11-02,8066.93
2016-11-03,7998.42
2016-11-04,8032.68
2016-11-07,8124.02
2016-11-08,8215.37
2016-11-09,8529.37
2016-11-10,8563.63
2016-11-11,8946.13
2016-11-14,9031.77
2016-11-15,9305.81
2016-11-16,9642.64
2016-11-17,9741.84
2016-11-18,9602.96
2016-11-21,9642.64
2016-11-22,9602.96
2016-11-23,9622.8
2016-11-25,9741.84
2016-11-28,9642.64
2016-11-29,9821.21
2016-11-30,9642.64
2016-12-01,9781.52
2016-12-02,9722.0
2016-12-05,9860.89
2016-12-06,9801.36
2016-12-07,9325.18
2016-12-08,10138.66
2016-12-09,10475.95
2016-12-12,10475.95
2016-12-13,10475.95
2016-12-14,10475.95
2016-12-15,10475.95
2016-12-16,10569.07
2016-12-19,10627.27
2016-12-20,10534.15
2016-12-21,10487.59
2016-12-22,10150.04
2016-12-23,10347.91
2016-12-27,10638.91
2016-12-28,10743.67
2016-12-29,11314.03
2016-12-30,10580.71
2017-01-03,11337.31
2017-01-04,11546.83
2017-01-05,13083.3
2017-01-06,13083.3
2017-01-09,13554.12
2017-01-10,13798.58
2017-01-11,13680.88
2017-01-12,13708.04
2017-01-13,13771.42
2017-01-17,13843.85
2017-01-18,13852.91
2017-01-19,13472.63
2017-01-20,13545.07
2017-01-23,13345.87
2017-01-24,13563.17
2017-01-25,13907.23
2017-01-26,13698.98
2017-01-27,13282.49
2017-01-30,13363.98
2017-01-31,13680.88
2017-02-01,13599.39
2017-02-02,13617.5
2017-02-03,13572.23
2017-02-06,13753.31
2017-02-07,13409.25
2017-02-08,13626.55
2017-02-09,14015.88
2017-02-10,14215.07
2017-02-13,13861.96
2017-02-14,14015.88
2017-02-15,14015.88
2017-02-16,13644.66
2017-02-17,13843.85
2017-02-21,14097.37
2017-02-22,13979.66
2017-02-23,13363.98
2017-02-24,13807.64
2017-02-27,14305.61
2017-02-28,14501.81
2017-03-01,14967.35
2017-03-02,14405.37
2017-03-03,14049.56
2017-03-06,13816.79
2017-03-07,13653.85
2017-03-08,13557.41
2017-03-09,13464.3
2017-03-10,13401.12
2017-03-13,13730.33
2017-03-14,13414.42
2017-03-15,13401.12
2017-03-16,13560.73
2017-03-17,13567.38
2017-03-20,13683.78
2017-03-21,13224.87
2017-03-22,13384.5
2017-03-23,13490.9
2017-03-24,13633.89
2017-03-27,13637.22
2017-03-28,13650.52
2017-03-29,13760.26
2017-03-30,13730.33
2017-03-31,13750.28
2017-04-03,13753.6
2017-04-04,13730.33
2017-04-05,14009.66
2017-04-06,14298.96
2017-04-07,14305.61
2017-04-10,14412.02
2017-04-11,14445.28
2017-04-12,14458.57
2017-04-13,13693.75
2017-04-17,13996.35
2017-04-18,14056.21
2017-04-19,14076.16
2017-04-20,14102.77
2017-04-21,14062.86
2017-04-24,14172.6
2017-04-25,14332.21
2017-04-26,14465.23
2017-04-27,14636.08
2017-04-28,14142.51
2017-05-01,14256.41
2017-05-02,14009.63
2017-05-03,13914.71
2017-05-04,13743.86
2017-05-05,13800.81
2017-05-08,13952.68
2017-05-09,13914.71
2017-05-10,13952.68
2017-05-11,13952.68
2017-05-12,13762.85
2017-05-15,14009.63
2017-05-16,14066.58
2017-05-17,13516.06
2017-05-18,13592.0
2017-05-19,13819.8
2017-05-22,13971.66
2017-05-23,13952.68
2017-05-24,14104.55
2017-05-25,14199.46
2017-05-26,14085.56
2017-05-30,14199.46
2017-05-31,13895.73
2017-06-01,14465.23
2017-06-02,14484.21
2017-06-05,14237.43
2017-06-06,14294.38
2017-06-07,14465.23
2017-06-08,14920.82
2017-06-09,14541.16
2017-06-12,14427.26
2017-06-13,14389.29
2017-06-14,14332.34
