Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,17,5,2.0,30%,207.3,4.7,2,6.3,6.3
2,2016-07,2021-07,2021-07,2022-07,17,5,2.0,30%,221.0,5.4,3,-2.4,-2.4
3,2017-01,2022-01,2022-01,2023-01,34,5,2.5,30%,237.0,5.8,1,12.6,12.6
4,2017-07,2022-07,2022-07,2023-07,40,5,2.5,30%,275.9,8.2,0,,
5,2018-01,2023-01,2023-01,2024-01,35,12,2.7,20%,294.4,12.6,0,,
6,2018-07,2023-07,2023-07,2024-07,35,12,2.7,20%,294.4,12.6,0,,
7,2019-01,2024-01,2024-01,2025-01,21,5,1.5,30%,326.5,14.1,2,36.5,36.5
8,2019-07,2024-07,2024-07,2025-07,17,5,1.5,30%,359.4,16.6,4,42.1,42.4
9,2020-01,2025-01,2025-01,2026-01,17,5,1.5,30%,517.0,34.4,3,16.4,16.7
