Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,28,5,2.6,30%,1031.6,48.3,0,,
2,2016-07,2021-07,2021-07,2022-07,28,5,2.6,30%,1031.6,48.3,0,,
3,2017-01,2022-01,2022-01,2023-01,28,5,2.6,30%,1031.6,48.3,1,30.1,30.2
4,2017-07,2022-07,2022-07,2023-07,28,5,2.6,30%,1121.6,57.1,0,,
5,2018-01,2023-01,2023-01,2024-01,28,5,2.6,30%,1372.5,85.5,1,6.2,6.2
6,2018-07,2023-07,2023-07,2024-07,40,5,2.4,20%,1116.0,67.1,0,,
7,2019-01,2024-01,2024-01,2025-01,40,5,2.4,20%,1331.4,95.3,0,,
8,2019-07,2024-07,2024-07,2025-07,40,5,2.4,20%,1331.4,95.3,1,22.7,22.8
9,2020-01,2025-01,2025-01,2026-01,40,5,2.4,20%,1331.4,95.3,1,22.7,23.0
