Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,18,8,2.9,20%,100.7,5.5,1,5.9,5.9
2,2016-07,2021-07,2021-07,2022-07,18,8,2.9,20%,118.3,7.6,0,,
3,2017-01,2022-01,2022-01,2023-01,18,8,2.9,20%,130.2,5.3,0,,
4,2017-07,2022-07,2022-07,2023-07,21,8,2.9,20%,167.2,5.7,0,,
5,2018-01,2023-01,2023-01,2024-01,21,8,2.9,20%,167.2,5.7,1,10.7,10.7
6,2018-07,2023-07,2023-07,2024-07,18,8,2.9,20%,130.2,5.3,0,,
7,2019-01,2024-01,2024-01,2025-01,18,8,2.9,20%,130.2,5.3,0,,
8,2019-07,2024-07,2024-07,2025-07,18,8,2.9,20%,130.2,5.3,0,,
9,2020-01,2025-01,2025-01,2026-01,17,5,2.1,20%,207.4,5.5,2,2.0,2.0
