Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,25,12,2.1,30%,74.3,1.0,1,12.3,12.3
2,2016-07,2021-07,2021-07,2022-07,25,12,2.1,30%,74.3,1.0,1,-2.6,-2.7
3,2017-01,2022-01,2022-01,2023-01,32,15,2.1,30%,90.8,1.7,1,-5.2,-5.2
4,2017-07,2022-07,2022-07,2023-07,16,15,1.8,30%,76.8,1.0,1,5.9,6.0
5,2018-01,2023-01,2023-01,2024-01,25,12,2.1,30%,104.2,2.0,1,9.4,9.5
6,2018-07,2023-07,2023-07,2024-07,25,12,2.1,30%,104.2,2.0,1,6.7,6.7
7,2019-01,2024-01,2024-01,2025-01,25,12,2.1,30%,123.5,2.8,1,4.0,4.0
8,2019-07,2024-07,2024-07,2025-07,16,15,1.8,30%,131.3,2.9,2,-0.3,-0.3
9,2020-01,2025-01,2025-01,2026-01,16,15,1.8,30%,174.9,5.2,3,-26.4,-26.6
