Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
121,19,71.1,20.7,35960.64,30960.64,619.21,47226.81,57.41,0.66,4.1,16,5,16,21,26,1.5,0.2,20.9
102,4,69.6,24.4,93159.02,88159.02,1763.18,102313.48,61.01,0.86,15.2,16,5,16,21,26,1.5,0.3,32.4
103,1,69.9,24.0,92551.7,87551.7,1751.03,40518.26,41.39,2.16,37.8,16,5,16,21,26,1.5,0.4,32.3
101,0,69.3,24.6,94574.03,89574.03,1791.48,41574.84,41.56,2.15,38.5,16,5,16,21,26,1.5,0.5,32.6
101,0,69.3,24.6,94574.03,89574.03,1791.48,41574.84,41.56,2.15,38.5,16,5,16,21,26,1.5,0.6,32.6
111,22,64.9,22.4,5716.51,716.51,14.33,41198.8,88.09,0.02,0.0,16,5,16,21,26,1.6,0.2,1.3
103,5,69.9,24.0,159995.12,154995.12,3099.9,44638.79,26.38,3.47,107.6,16,5,16,21,26,1.6,0.3,39.5
100,1,68.0,24.6,159450.2,154450.2,3089.0,44486.76,26.38,3.47,107.2,16,5,16,21,26,1.6,0.4,39.4
98,0,66.3,25.1,114735.64,109735.64,2194.71,32011.35,26.38,3.43,75.3,16,5,16,21,26,1.6,0.5,35.1
98,0,66.3,25.1,114735.64,109735.64,2194.71,32011.35,26.38,3.43,75.3,16,5,16,21,26,1.6,0.6,35.1
108,14,72.2,22.5,186608.64,181608.64,3632.17,397361.81,69.36,0.46,16.7,16,5,16,21,26,1.7,0.2,41.5
102,5,76.5,23.8,244947.04,239947.04,4798.94,96139.59,33.21,2.5,120.0,16,5,16,21,26,1.7,0.3,45.3
92,1,71.7,26.3,72282.01,67282.01,1345.64,28370.06,33.21,2.37,31.9,16,5,16,21,26,1.7,0.4,29.2
96,0,74.0,25.2,175902.21,170902.21,3418.04,69040.09,33.21,2.48,84.8,16,5,16,21,26,1.7,0.5,40.7
96,0,74.0,25.2,175902.21,170902.21,3418.04,69040.09,33.21,2.48,84.8,16,5,16,21,26,1.7,0.6,40.7
89,20,58.4,27.1,2436.92,-2563.08,-51.26,5629.27,72.05,-0.46,0.2,16,5,16,21,26,1.8,0.2,-6.7
79,9,63.3,30.4,1052.54,-3947.46,-78.95,5442.8,85.42,-0.73,0.6,16,5,16,21,26,1.8,0.3,-13.9
79,3,63.3,30.4,4081.61,-918.39,-18.37,6235.68,68.24,-0.15,0.0,16,5,16,21,26,1.8,0.4,-1.9
75,1,61.3,32.0,1603.24,-3396.76,-67.94,6239.06,81.51,-0.54,0.4,16,5,16,21,26,1.8,0.5,-10.3
74,0,60.8,32.5,1779.85,-3220.15,-64.4,6926.37,81.51,-0.46,0.3,16,5,16,21,26,1.8,0.6,-9.4
90,14,64.4,26.8,42329.42,37329.42,746.59,27912.39,48.81,1.34,10.0,16,5,16,21,26,1.9,0.2,22.8
84,6,65.5,28.8,34353.07,29353.07,587.06,23444.23,48.52,1.25,7.3,16,5,16,21,26,1.9,0.3,20.3
79,3,64.6,30.6,14467.27,9467.27,189.35,18293.18,73.64,0.52,1.0,16,5,16,21,26,1.9,0.4,10.7
77,0,63.6,31.5,24307.37,19307.37,386.15,17049.31,49.21,1.13,4.4,16,5,16,21,26,1.9,0.5,16.4
77,0,63.6,31.5,24307.37,19307.37,386.15,17049.31,49.21,1.13,4.4,16,5,16,21,26,1.9,0.6,16.4
82,14,56.1,28.8,11041.28,6041.28,120.83,19560.07,74.37,0.31,0.4,16,5,16,21,26,2.0,0.2,7.9
76,7,69.7,31.1,50032.19,45032.19,900.64,24992.27,38.35,1.8,16.2,16,5,16,21,26,2.0,0.3,24.7
69,1,63.8,34.1,15642.5,10642.5,212.85,20183.39,73.64,0.53,1.1,16,5,16,21,26,2.0,0.4,11.6
70,0,65.7,33.6,27824.58,22824.58,456.49,16658.04,42.92,1.37,6.3,16,5,16,21,26,2.0,0.5,17.9
70,0,65.7,33.6,27824.58,22824.58,456.49,16658.04,42.92,1.37,6.3,16,5,16,21,26,2.0,0.6,17.9
70,13,58.6,33.9,13373.28,8373.28,167.47,34462.97,72.04,0.24,0.4,16,5,16,21,26,2.1,0.2,9.9
71,6,66.2,33.0,95013.47,90013.47,1800.27,60393.34,46.52,1.49,26.8,16,5,16,21,26,2.1,0.3,32.7
67,1,67.2,34.6,54207.64,49207.64,984.15,47050.73,48.95,1.05,10.3,16,5,16,21,26,2.1,0.4,25.7
66,0,66.7,35.5,56759.18,51759.18,1035.18,49265.39,48.95,1.05,10.9,16,5,16,21,26,2.1,0.5,26.3
66,0,66.7,35.5,56759.18,51759.18,1035.18,49265.39,48.95,1.05,10.9,16,5,16,21,26,2.1,0.6,26.3
70,14,58.6,33.6,5808.26,808.26,16.17,32649.14,84.9,0.02,0.0,16,5,16,21,26,2.2,0.2,1.4
67,6,68.7,34.3,26176.67,21176.67,423.53,15305.58,44.06,1.38,5.8,16,5,16,21,26,2.2,0.3,17.2
65,3,67.7,35.4,26659.38,21659.38,433.19,30422.84,63.62,0.71,3.1,16,5,16,21,26,2.2,0.4,17.4
61,2,65.6,37.9,8996.48,3996.48,79.93,13212.85,70.16,0.3,0.2,16,5,16,21,26,2.2,0.5,5.8
59,0,66.1,39.5,11254.24,6254.24,125.08,13015.59,65.75,0.48,0.6,16,5,16,21,26,2.2,0.6,8.1
56,12,67.9,40.9,21711.01,16711.01,334.22,22976.58,52.58,0.73,2.4,16,5,16,21,26,2.3,0.2,15.1
53,7,69.8,44.0,35130.19,30130.19,602.6,50476.63,64.35,0.6,3.6,16,5,16,21,26,2.3,0.3,20.6
50,2,66.0,46.8,22914.37,17914.37,358.29,29975.97,59.7,0.6,2.1,16,5,16,21,26,2.3,0.4,15.7
48,0,72.9,48.6,47832.96,42832.96,856.66,23269.64,41.16,1.84,15.8,16,5,16,21,26,2.3,0.5,24.2
48,0,72.9,48.6,47832.96,42832.96,856.66,23269.64,41.16,1.84,15.8,16,5,16,21,26,2.3,0.6,24.2
