Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,19,5,3.0,50%,116.0,2.7,0,,
2,2016-07,2021-07,2021-07,2022-07,19,5,3.0,50%,133.7,3.6,0,,
3,2017-01,2022-01,2022-01,2023-01,19,5,3.0,50%,133.7,3.6,1,-11.5,-11.5
4,2017-07,2022-07,2022-07,2023-07,19,5,3.0,50%,133.7,3.6,1,-8.3,-8.3
5,2018-01,2023-01,2023-01,2024-01,19,5,3.0,50%,106.9,1.8,1,-23.1,-23.2
6,2018-07,2023-07,2023-07,2024-07,33,12,2.6,40%,130.5,2.4,1,-2.5,-2.5
7,2019-01,2024-01,2024-01,2025-01,28,12,2.6,40%,157.4,4.2,0,,
8,2019-07,2024-07,2024-07,2025-07,28,12,2.6,40%,157.4,4.2,0,,
9,2020-01,2025-01,2025-01,2026-01,18,8,2.6,40%,191.5,4.7,1,56.2,57.0
