Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,23,8,2.9,20%,77.5,2.2,1,25.2,25.3
2,2016-07,2021-07,2021-07,2022-07,23,5,2.9,20%,116.7,3.1,1,11.5,11.7
3,2017-01,2022-01,2022-01,2023-01,26,10,3.0,30%,194.5,8.8,1,13.7,13.7
4,2017-07,2022-07,2022-07,2023-07,27,10,3.1,20%,192.5,8.6,0,,
5,2018-01,2023-01,2023-01,2024-01,27,10,3.1,20%,192.5,8.6,0,,
6,2018-07,2023-07,2023-07,2024-07,27,10,3.1,20%,192.5,8.6,1,-20.6,-20.7
7,2019-01,2024-01,2024-01,2025-01,27,10,3.1,20%,198.6,9.2,1,11.5,11.5
8,2019-07,2024-07,2024-07,2025-07,38,5,1.5,40%,246.9,6.3,3,10.3,10.3
9,2020-01,2025-01,2025-01,2026-01,25,5,2.8,30%,264.6,6.9,1,9.8,9.9
