Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-10,2021-10,2021-10,2022-10,18,5,3.2,30%,66.0,1.2,0,,
2,2017-04,2022-04,2022-04,2023-04,18,5,3.2,30%,66.0,1.2,0,,
3,2017-10,2022-10,2022-10,2023-10,18,5,3.2,30%,66.0,1.2,0,,
4,2018-04,2023-04,2023-04,2024-04,19,15,2.2,30%,106.2,1.7,1,2.9,2.9
5,2018-10,2023-10,2023-10,2024-10,32,5,1.5,20%,146.9,2.2,3,17.4,17.4
6,2019-04,2024-04,2024-04,2025-04,32,5,1.5,20%,162.4,2.7,3,13.3,13.3
7,2019-10,2024-10,2024-10,2025-10,32,5,1.5,20%,180.5,3.4,4,36.2,36.3
8,2020-04,2025-04,2025-04,2026-04,29,15,1.8,30%,214.6,4.6,1,12.2,12.3
