Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,24,5,3.2,40%,441.9,15.8,0,,
2,2016-07,2021-07,2021-07,2022-07,16,5,3.2,40%,505.1,29.6,0,,
3,2017-01,2022-01,2022-01,2023-01,16,5,3.2,40%,505.1,29.6,0,,
4,2017-07,2022-07,2022-07,2023-07,16,5,3.2,40%,510.0,30.2,0,,
5,2018-01,2023-01,2023-01,2024-01,36,5,1.7,50%,749.3,34.7,3,44.8,45.0
6,2018-07,2023-07,2023-07,2024-07,24,5,3.2,40%,1134.5,68.0,0,,
7,2019-01,2024-01,2024-01,2025-01,36,5,1.7,50%,1129.5,77.8,2,-23.5,-23.6
8,2019-07,2024-07,2024-07,2025-07,35,5,2.0,50%,904.9,50.4,3,16.4,16.5
9,2020-01,2025-01,2025-01,2026-01,16,5,3.2,40%,1183.5,81.4,0,,
