Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,21,12,2.5,30%,55.7,1.0,1,0.8,0.8
2,2016-07,2021-07,2021-07,2022-07,30,15,3.0,20%,86.7,3.3,1,14.6,14.8
3,2017-01,2022-01,2022-01,2023-01,30,15,3.0,20%,115.7,5.8,1,31.8,31.9
4,2017-07,2022-07,2022-07,2023-07,30,15,3.0,20%,113.9,5.6,0,,
5,2018-01,2023-01,2023-01,2024-01,30,15,3.0,20%,190.6,15.7,0,,
6,2018-07,2023-07,2023-07,2024-07,30,15,3.0,20%,190.6,15.7,0,,
7,2019-01,2024-01,2024-01,2025-01,30,15,3.0,20%,190.6,15.7,0,,
8,2019-07,2024-07,2024-07,2025-07,30,15,3.0,20%,190.6,15.7,0,,
9,2020-01,2025-01,2025-01,2026-01,30,15,3.0,20%,190.6,15.7,0,,
