Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,26,5,2.2,20%,161.3,1.5,2,57.4,57.6
2,2016-07,2021-07,2021-07,2022-07,26,5,2.2,20%,234.6,3.2,3,-7.7,-7.8
3,2017-01,2022-01,2022-01,2023-01,26,5,2.2,20%,311.2,5.6,3,-36.8,-36.9
4,2017-07,2022-07,2022-07,2023-07,26,5,2.2,20%,208.9,2.5,2,-9.0,-9.1
5,2018-01,2023-01,2023-01,2024-01,26,5,2.2,20%,171.6,1.7,2,-11.2,-11.2
6,2018-07,2023-07,2023-07,2024-07,26,5,2.2,20%,218.1,2.7,1,-21.6,-21.7
7,2019-01,2024-01,2024-01,2025-01,26,5,2.2,20%,141.2,1.1,1,29.5,29.6
8,2019-07,2024-07,2024-07,2025-07,26,5,2.2,20%,149.3,1.3,1,23.8,23.9
9,2020-01,2025-01,2025-01,2026-01,26,5,2.2,20%,212.4,2.6,2,-3.1,-3.1
