Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,22,5,3.2,20%,83.9,3.8,0,,
2,2016-07,2021-07,2021-07,2022-07,22,5,3.2,20%,83.9,3.8,0,,
3,2017-01,2022-01,2022-01,2023-01,22,5,3.2,20%,83.9,3.8,0,,
4,2017-07,2022-07,2022-07,2023-07,22,5,3.2,20%,83.9,3.8,0,,
5,2018-01,2023-01,2023-01,2024-01,22,5,3.2,20%,83.9,3.8,1,-20.7,-20.8
6,2018-07,2023-07,2023-07,2024-07,22,5,3.2,20%,91.7,4.5,0,,
7,2019-01,2024-01,2024-01,2025-01,18,8,2.9,30%,87.3,1.1,1,-1.4,-1.4
8,2019-07,2024-07,2024-07,2025-07,18,8,2.9,30%,102.4,1.5,1,-8.8,-8.8
9,2020-01,2025-01,2025-01,2026-01,18,8,2.9,30%,84.8,1.0,0,,
