Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,17,5,2.0,20%,136.4,3.4,2,12.0,12.1
2,2016-07,2021-07,2021-07,2022-07,17,5,2.0,20%,151.1,4.2,1,0.6,0.6
3,2017-01,2022-01,2022-01,2023-01,17,5,2.0,20%,164.8,5.0,2,-0.2,-0.2
4,2017-07,2022-07,2022-07,2023-07,17,5,2.0,20%,152.5,4.3,3,16.0,16.1
5,2018-01,2023-01,2023-01,2024-01,17,5,2.0,20%,164.4,5.0,3,7.6,7.7
6,2018-07,2023-07,2023-07,2024-07,17,5,2.0,20%,200.0,7.4,2,-10.9,-10.9
7,2019-01,2024-01,2024-01,2025-01,17,5,2.0,20%,184.5,6.3,1,-9.5,-9.5
8,2019-07,2024-07,2024-07,2025-07,17,5,2.0,20%,167.3,5.2,2,-30.1,-30.3
9,2020-01,2025-01,2025-01,2026-01,17,5,2.0,20%,157.5,4.6,3,-13.7,-13.8
