Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-09,2021-09,2021-09,2022-09,23,5,3.0,30%,116.5,3.2,0,,
2,2017-03,2022-03,2022-03,2023-03,23,5,3.0,30%,116.5,3.2,0,,
3,2017-09,2022-09,2022-09,2023-09,23,5,3.0,30%,116.5,3.2,0,,
4,2018-03,2023-03,2023-03,2024-03,38,5,2.4,30%,163.9,3.3,0,,
5,2018-09,2023-09,2023-09,2024-09,38,5,2.4,30%,163.9,3.3,0,,
6,2019-03,2024-03,2024-03,2025-03,38,5,2.4,30%,163.9,3.3,1,15.8,16.0
7,2019-09,2024-09,2024-09,2025-09,38,5,2.4,30%,163.9,3.3,1,15.8,15.9
8,2020-03,2025-03,2025-03,2026-03,38,5,2.4,30%,205.7,5.1,1,23.1,23.4
