Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,17,15,3.0,30%,62.5,0.6,0,,
2,2016-07,2021-07,2021-07,2022-07,17,15,3.0,30%,62.5,0.6,0,,
3,2017-01,2022-01,2022-01,2023-01,17,15,3.0,30%,62.5,0.6,0,,
4,2017-07,2022-07,2022-07,2023-07,17,15,3.0,30%,62.5,0.6,0,,
5,2018-01,2023-01,2023-01,2024-01,17,15,3.0,30%,62.5,0.6,0,,
6,2018-07,2023-07,2023-07,2024-07,17,15,3.0,30%,62.5,0.6,0,,
7,2019-01,2024-01,2024-01,2025-01,17,15,3.0,30%,62.5,0.6,0,,
8,2019-07,2024-07,2024-07,2025-07,17,15,3.0,30%,62.5,0.6,0,,
9,2020-01,2025-01,2025-01,2026-01,17,15,3.0,30%,62.5,0.6,0,,
