Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,20,5,2.8,20%,105.4,2.1,1,7.2,7.3
2,2016-07,2021-07,2021-07,2022-07,20,5,2.8,20%,108.6,2.3,0,,
3,2017-01,2022-01,2022-01,2023-01,20,5,2.8,20%,120.3,2.8,1,14.8,14.8
4,2017-07,2022-07,2022-07,2023-07,32,5,2.4,30%,167.0,5.6,1,25.0,25.2
5,2018-01,2023-01,2023-01,2024-01,27,8,2.4,30%,181.8,6.7,1,18.8,18.9
6,2018-07,2023-07,2023-07,2024-07,26,8,2.4,30%,277.1,15.5,0,,
7,2019-01,2024-01,2024-01,2025-01,24,10,2.3,30%,266.4,15.8,0,,
8,2019-07,2024-07,2024-07,2025-07,24,10,2.3,30%,266.4,15.8,1,-4.2,-4.2
9,2020-01,2025-01,2025-01,2026-01,26,8,2.4,30%,244.8,11.8,0,,
