Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,36,15,2.4,30%,143.6,7.3,1,4.2,4.2
2,2016-07,2021-07,2021-07,2022-07,36,15,2.4,30%,195.3,13.5,0,,
3,2017-01,2022-01,2022-01,2023-01,35,5,1.8,20%,227.0,9.6,4,58.4,58.6
4,2017-07,2022-07,2022-07,2023-07,35,5,1.8,20%,297.6,16.4,2,15.8,15.9
5,2018-01,2023-01,2023-01,2024-01,30,5,2.0,20%,383.3,23.4,2,8.0,8.0
6,2018-07,2023-07,2023-07,2024-07,30,5,2.0,20%,425.7,28.8,2,8.4,8.5
7,2019-01,2024-01,2024-01,2025-01,32,15,2.0,30%,376.6,28.6,2,24.1,24.1
8,2019-07,2024-07,2024-07,2025-07,34,15,2.0,30%,422.4,29.8,2,68.8,69.4
9,2020-01,2025-01,2025-01,2026-01,34,5,2.0,20%,581.1,29.9,1,40.0,40.5
