Window,Train Start,Train End,Test Start,Test End,Best N_base,Best Gap,Best K,Best Stop,Train Return %,Train Score,Test Trades,Test Return %,Test CAGR %
1,2016-01,2021-01,2021-01,2022-01,21,5,2.3,30%,-51.7,0.5,1,8.1,8.1
2,2016-07,2021-07,2021-07,2022-07,22,5,2.4,30%,-53.3,0.5,0,,
3,2017-01,2022-01,2022-01,2023-01,16,8,2.4,30%,-47.2,0.4,0,,
4,2017-07,2022-07,2022-07,2023-07,16,8,2.4,30%,-47.2,0.4,1,-31.7,-31.8
5,2018-01,2023-01,2023-01,2024-01,16,8,2.4,30%,-47.2,0.4,2,-10.4,-10.4
6,2018-07,2023-07,2023-07,2024-07,16,5,2.3,40%,-63.9,0.6,2,29.8,29.9
7,2019-01,2024-01,2024-01,2025-01,24,15,3.2,30%,56.5,0.9,0,,
8,2019-07,2024-07,2024-07,2025-07,16,8,2.0,30%,-54.2,0.5,1,-30.9,-31.1
9,2020-01,2025-01,2025-01,2026-01,24,15,3.2,30%,53.9,0.6,0,,
